,Subject1,Subject2,Subject3,Subject4,Subject5,Subject6,Subject7,Subject8,Subject9,Subject10,Subject11,Subject12,Subject13,Subject14,Subject15,Subject16,Subject17,Subject18,Subject19,Subject20,Subject21,Subject22,Subject23,Subject24,Subject25,Subject26,Subject27,Subject28,Subject29,Subject30,Subject31,Subject32,Subject33,Subject34,Subject35,Subject36,Subject37,Subject38,Subject39,Subject40,Subject41,Subject42,Subject43,Subject44,Subject45,Subject46,Subject47,Subject48,Subject49,Subject50,Subject51,Subject52,Subject53,Subject54,Subject55,Subject56,Subject57,Subject58,Subject59,Subject60,Subject61,Subject62,Subject63,Subject64,Subject65,Subject66,Subject67,Subject68,Subject69,Subject70,Subject71,Subject72,Subject73,Subject74,Subject75,Subject76,Subject77,Subject78,Subject79,Subject80,Subject81,Subject82,Subject83,Subject84,Subject85
1Runner_crf_30_98fps,23.0,31.0,33.0,28.0,21.0,24.0,25.0,30.0,34.0,33.0,27.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,32.0,29.0,34.0,28.0,23.0,26.0,22.0,30.0,19.0,31.0,30.0,-1.0,36.0,30.0,34.0,33.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,33.0,34.0,39.0,35.0,27.0,26.0,33.0,26.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,20.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,33.0,30.0,35.0,30.0,38.0,24.0,28.0,-1.0,-1.0
1Runner_crf_32_120fps,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,39.0,37.0,35.0,29.0,27.0,31.0,21.0,35.0,36.0,28.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,37.0,-1.0,-1.0,-1.0,-1.0,32.0,30.0,25.0,31.0,37.0,29.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,19.0,31.0,24.0,31.0,22.0,31.0,32.0,35.0,32.0,35.0,-1.0,32.0,32.0,32.0,37.0,29.0,24.0,39.0,34.0,30.0,24.0,34.0,39.0,33.0,38.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,35.0,34.0
1Runner_crf_40_24fps,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,17.0,23.0,9.0,11.0,14.0,3.0,5.0,18.0,20.0,20.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,16.0,-1.0,-1.0,-1.0,-1.0,34.0,19.0,22.0,14.0,22.0,21.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,20.0,19.0,15.0,11.0,13.0,7.0,15.0,6.0,6.0,29.0,-1.0,16.0,19.0,14.0,23.0,24.0,13.0,4.0,24.0,11.0,17.0,15.0,12.0,26.0,13.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,15.0,28.0
1Runner_crf_40_30fps,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,19.0,25.0,9.0,11.0,18.0,12.0,19.0,28.0,15.0,17.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,30.0,-1.0,-1.0,-1.0,-1.0,23.0,20.0,29.0,16.0,35.0,35.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,22.0,13.0,17.0,16.0,12.0,4.0,22.0,33.0,11.0,28.0,-1.0,17.0,15.0,16.0,26.0,23.0,19.0,3.0,28.0,11.0,21.0,29.0,26.0,30.0,26.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,16.0,19.0
1Runner_crf_44_60fps,-1.0,31.0,29.0,-1.0,-1.0,16.0,-1.0,-1.0,-1.0,23.0,-1.0,22.0,29.0,17.0,23.0,35.0,14.0,29.0,30.0,-1.0,26.0,-1.0,28.0,-1.0,19.0,20.0,19.0,34.0,-1.0,-1.0,-1.0,-1.0,33.0,33.0,-1.0,32.0,38.0,36.0,-1.0,27.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,29.0,-1.0,-1.0,-1.0,12.0,24.0,29.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,22.0,24.0,30.0,37.0,34.0,19.0,23.0,10.0,-1.0,-1.0,-1.0,-1.0,27.0,32.0,35.0,30.0,23.0,-1.0,-1.0,17.0,29.0,-1.0
1Runner_crf_46_24fps,4.0,8.0,11.0,15.0,0.0,15.0,23.0,23.0,29.0,8.0,17.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,19.0,16.0,26.0,24.0,8.0,18.0,8.0,15.0,13.0,19.0,5.0,-1.0,15.0,11.0,33.0,13.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,19.0,5.0,34.0,13.0,20.0,23.0,21.0,7.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,13.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,9.0,15.0,30.0,14.0,19.0,16.0,13.0,-1.0,-1.0
1Runner_crf_46_30fps,12.0,-1.0,-1.0,26.0,11.0,-1.0,26.0,4.0,30.0,-1.0,16.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,19.0,-1.0,19.0,-1.0,24.0,-1.0,-1.0,-1.0,-1.0,23.0,19.0,19.0,12.0,-1.0,-1.0,9.0,-1.0,-1.0,-1.0,9.0,-1.0,12.0,31.0,31.0,20.0,16.0,28.0,-1.0,21.0,15.0,23.0,-1.0,-1.0,-1.0,16.0,8.0,8.0,6.0,13.0,17.0,19.0,20.0,10.0,19.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,25.0,31.0,15.0,27.0,-1.0,-1.0,-1.0,-1.0,-1.0,19.0,18.0,-1.0,-1.0,30.0
1Runner_crf_46_82fps,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,37.0,31.0,15.0,28.0,33.0,23.0,31.0,31.0,39.0,12.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,27.0,-1.0,-1.0,-1.0,-1.0,30.0,28.0,31.0,25.0,18.0,32.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,14.0,15.0,27.0,26.0,29.0,32.0,22.0,33.0,30.0,32.0,-1.0,24.0,22.0,32.0,27.0,35.0,19.0,19.0,30.0,30.0,17.0,31.0,36.0,31.0,37.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,14.0,25.0
1Runner_crf_48_98fps,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,37.0,37.0,19.0,24.0,26.0,28.0,33.0,30.0,17.0,26.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,25.0,-1.0,-1.0,-1.0,-1.0,35.0,20.0,20.0,30.0,36.0,30.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,25.0,24.0,25.0,30.0,20.0,29.0,28.0,34.0,32.0,25.0,-1.0,31.0,35.0,29.0,19.0,39.0,19.0,12.0,34.0,21.0,30.0,30.0,29.0,30.0,36.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,28.0,37.0
1Runner_crf_48_120fps,39.0,31.0,19.0,21.0,37.0,34.0,27.0,24.0,32.0,39.0,29.0,38.0,29.0,37.0,30.0,29.0,25.0,36.0,30.0,35.0,31.0,19.0,32.0,36.0,31.0,30.0,36.0,30.0,29.0,28.0,30.0,29.0,39.0,38.0,39.0,39.0,34.0,24.0,33.0,29.0,31.0,39.0,30.0,32.0,32.0,39.0,32.0,20.0,27.0,31.0,19.0,13.0,29.0,29.0,19.0,29.0,30.0,20.0,33.0,27.0,34.0,30.0,29.0,35.0,29.0,29.0,35.0,25.0,39.0,34.0,25.0,21.0,33.0,29.0,31.0,32.0,23.0,37.0,37.0,31.0,37.0,19.0,33.0,38.0,34.0
1Runner_crf_50_60fps,29.0,-1.0,-1.0,28.0,20.0,-1.0,27.0,17.0,33.0,-1.0,19.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,18.0,-1.0,20.0,-1.0,28.0,-1.0,-1.0,-1.0,-1.0,23.0,27.0,28.0,24.0,-1.0,-1.0,21.0,-1.0,-1.0,-1.0,19.0,-1.0,10.0,33.0,27.0,30.0,5.0,27.0,-1.0,21.0,21.0,23.0,-1.0,-1.0,-1.0,22.0,20.0,10.0,20.0,16.0,19.0,28.0,22.0,10.0,25.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,19.0,28.0,37.0,30.0,-1.0,-1.0,-1.0,-1.0,-1.0,22.0,29.0,-1.0,-1.0,32.0
1Runner_crf_52_82fps,-1.0,39.0,32.0,-1.0,-1.0,15.0,-1.0,-1.0,-1.0,35.0,-1.0,32.0,31.0,14.0,23.0,29.0,28.0,28.0,31.0,-1.0,18.0,-1.0,31.0,-1.0,25.0,20.0,18.0,29.0,-1.0,-1.0,-1.0,-1.0,27.0,35.0,-1.0,30.0,30.0,37.0,-1.0,31.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,9.0,-1.0,-1.0,-1.0,20.0,21.0,21.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,36.0,32.0,21.0,25.0,28.0,29.0,33.0,27.0,-1.0,-1.0,-1.0,-1.0,30.0,33.0,36.0,31.0,28.0,-1.0,-1.0,20.0,26.0,-1.0
1Runner_crf_52_98fps,-1.0,29.0,28.0,-1.0,-1.0,23.0,-1.0,-1.0,-1.0,24.0,-1.0,38.0,24.0,19.0,23.0,37.0,26.0,16.0,28.0,-1.0,24.0,-1.0,30.0,-1.0,27.0,25.0,25.0,30.0,-1.0,-1.0,-1.0,-1.0,30.0,33.0,-1.0,29.0,29.0,34.0,-1.0,24.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,30.0,-1.0,-1.0,-1.0,26.0,18.0,21.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,36.0,28.0,28.0,22.0,31.0,28.0,32.0,11.0,-1.0,-1.0,-1.0,-1.0,30.0,24.0,33.0,32.0,36.0,-1.0,-1.0,14.0,27.0,-1.0
1Runner_crf_54_120fps,29.0,32.0,32.0,37.0,39.0,29.0,29.0,32.0,30.0,29.0,36.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,34.0,20.0,26.0,31.0,19.0,37.0,26.0,21.0,19.0,30.0,34.0,-1.0,37.0,25.0,37.0,26.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,27.0,34.0,35.0,27.0,27.0,22.0,34.0,20.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,23.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,17.0,38.0,35.0,28.0,38.0,27.0,25.0,-1.0,-1.0
1Runner_crf_63_24fps,-1.0,19.0,14.0,-1.0,-1.0,4.0,-1.0,-1.0,-1.0,0.0,-1.0,5.0,4.0,8.0,9.0,8.0,0.0,14.0,10.0,-1.0,1.0,-1.0,5.0,-1.0,9.0,0.0,4.0,14.0,-1.0,-1.0,-1.0,-1.0,3.0,5.0,-1.0,25.0,0.0,15.0,-1.0,15.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,9.0,20.0,9.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,7.0,8.0,1.0,4.0,4.0,6.0,4.0,-1.0,-1.0,-1.0,-1.0,12.0,4.0,10.0,19.0,7.0,-1.0,-1.0,6.0,6.0,-1.0
1Runner_crf_63_30fps,-1.0,29.0,13.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,6.0,-1.0,3.0,8.0,12.0,9.0,11.0,6.0,25.0,10.0,-1.0,1.0,-1.0,14.0,-1.0,17.0,8.0,6.0,10.0,-1.0,-1.0,-1.0,-1.0,9.0,19.0,-1.0,25.0,0.0,15.0,-1.0,19.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,11.0,8.0,18.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,9.0,17.0,0.0,2.0,5.0,15.0,10.0,-1.0,-1.0,-1.0,-1.0,8.0,15.0,21.0,19.0,13.0,-1.0,-1.0,15.0,8.0,-1.0
1Runner_crf_63_60fps,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,23.0,17.0,25.0,3.0,20.0,7.0,13.0,7.0,12.0,7.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,18.0,-1.0,-1.0,-1.0,-1.0,12.0,10.0,18.0,16.0,14.0,15.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,11.0,18.0,16.0,10.0,12.0,10.0,10.0,27.0,12.0,11.0,-1.0,16.0,19.0,9.0,8.0,16.0,10.0,7.0,23.0,6.0,19.0,13.0,17.0,15.0,32.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,13.0,28.0
1Runner_crf_63_82fps,19.0,11.0,15.0,1.0,12.0,14.0,24.0,12.0,24.0,16.0,13.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,14.0,12.0,24.0,20.0,10.0,5.0,19.0,23.0,17.0,19.0,7.0,-1.0,25.0,20.0,26.0,20.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,17.0,14.0,13.0,9.0,11.0,10.0,16.0,15.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,22.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,29.0,22.0,27.0,20.0,20.0,16.0,10.0,-1.0,-1.0
1Runner_crf_63_98fps,14.0,20.0,14.0,29.0,25.0,16.0,19.0,23.0,21.0,15.0,15.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,19.0,13.0,24.0,23.0,10.0,15.0,25.0,26.0,5.0,24.0,18.0,-1.0,26.0,20.0,30.0,25.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,18.0,36.0,8.0,14.0,19.0,9.0,22.0,13.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,14.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,11.0,28.0,19.0,26.0,18.0,8.0,13.0,-1.0,-1.0
1Runner_crf_63_120fps,29.0,-1.0,-1.0,23.0,16.0,-1.0,24.0,22.0,22.0,-1.0,21.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,23.0,-1.0,27.0,-1.0,19.0,-1.0,-1.0,-1.0,-1.0,26.0,18.0,25.0,10.0,-1.0,-1.0,26.0,-1.0,-1.0,-1.0,20.0,-1.0,21.0,31.0,29.0,27.0,30.0,8.0,-1.0,20.0,11.0,31.0,-1.0,-1.0,-1.0,19.0,10.0,17.0,15.0,15.0,31.0,26.0,22.0,20.0,23.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,23.0,25.0,24.0,33.0,-1.0,-1.0,-1.0,-1.0,-1.0,19.0,24.0,-1.0,-1.0,30.0
3Runners_crf_0_24fps,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,32.0,28.0,14.0,7.0,16.0,2.0,18.0,9.0,20.0,20.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,15.0,-1.0,-1.0,-1.0,-1.0,31.0,27.0,18.0,8.0,32.0,15.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,15.0,13.0,21.0,19.0,11.0,7.0,9.0,7.0,12.0,14.0,-1.0,16.0,27.0,10.0,22.0,30.0,17.0,4.0,23.0,10.0,22.0,15.0,11.0,32.0,27.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,14.0,19.0
3Runners_crf_0_30fps,23.0,-1.0,-1.0,27.0,7.0,-1.0,21.0,20.0,37.0,-1.0,33.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,20.0,-1.0,20.0,-1.0,35.0,-1.0,-1.0,-1.0,-1.0,19.0,22.0,24.0,23.0,-1.0,-1.0,19.0,-1.0,-1.0,-1.0,16.0,-1.0,16.0,12.0,9.0,26.0,29.0,31.0,-1.0,23.0,20.0,17.0,-1.0,-1.0,-1.0,24.0,17.0,8.0,7.0,21.0,15.0,16.0,13.0,19.0,24.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,23.0,28.0,26.0,30.0,-1.0,-1.0,-1.0,-1.0,-1.0,24.0,16.0,-1.0,-1.0,26.0
3Runners_crf_0_60fps,39.0,-1.0,-1.0,28.0,24.0,-1.0,33.0,24.0,32.0,-1.0,30.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,19.0,-1.0,34.0,-1.0,37.0,-1.0,-1.0,-1.0,-1.0,20.0,29.0,32.0,16.0,-1.0,-1.0,29.0,-1.0,-1.0,-1.0,21.0,-1.0,25.0,32.0,26.0,22.0,19.0,35.0,-1.0,19.0,23.0,28.0,-1.0,-1.0,-1.0,25.0,39.0,23.0,32.0,19.0,25.0,21.0,26.0,24.0,25.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,25.0,32.0,30.0,32.0,-1.0,-1.0,-1.0,-1.0,-1.0,23.0,21.0,-1.0,-1.0,29.0
